id,name,price,category,description,image,available,modifier_groups,tags
2195,SHAKE MAKI par 6,5.7,Maki et rolls,,https://www.sushi-aixsud.com/85-large_default/shake-maki-par-6.jpg,true,,[]
2196,KAPPA MAKI par 6,4.94,Maki et rolls,,https://www.sushi-aixsud.com/86-large_default/kappa-maki-par-6.jpg,true,,[]
2200,CHEESE MAKI par 6,4.94,Maki et rolls,,https://www.sushi-aixsud.com/89-large_default/cheese-maki-par-6.jpg,true,,[]
2201,FUTO MAKI par 8,10.93,Maki et rolls,,https://www.sushi-aixsud.com/182-large_default/futo-maki-par-8.jpg,true,,[]
2202,18 MAKI MIX DEGUSTATION,13.68,Maki et rolls,,https://www.sushi-aixsud.com/738-large_default/18-maki-mix-degustation.jpg,true,,[]
2203,MAKI VEGETARIENS - vendus par 12,9.79,Maki et rolls,,https://www.sushi-aixsud.com/187-large_default/12-maki-vegetariens.jpg,true,,[]
2206,CALIFORNIA SAUMON - AVOCAT par 6,7.32,Maki et rolls,,https://www.sushi-aixsud.com/68-large_default/california-saumon-avocat-par-6.jpg,true,,[]
2207,CALIFORNIA SAUMON - ST MORET par 6,7.32,Maki et rolls,,https://www.sushi-aixsud.com/69-large_default/california-saumon-st-moret-par-6.jpg,true,,[]
2208,CALIFORNIA AVOCAT - CREVETTE par 6,7.32,Maki et rolls,,https://www.sushi-aixsud.com/70-large_default/california-avocat-crevette-par-6.jpg,true,,[]
2209,CALIFORNIA AVOCAT - THON par 6,7.32,Maki et rolls,,https://www.sushi-aixsud.com/71-large_default/california-avocat-thon-par-6.jpg,true,,[]
2210,18 CALIFORNIA MIX DEGUSTATION,17.86,Maki et rolls,,https://www.sushi-aixsud.com/61-large_default/18-california-mix-degustation.jpg,true,,[]
2211,CALIFORNIA MIX sans cru - 9 pièces,10.93,Maki et rolls,,https://www.sushi-aixsud.com/60-large_default/9-california-mix-sans-cru.jpg,true,,[]
2212,CHIRASHI SAUMON,15.11,Chirashi,,https://www.sushi-aixsud.com/90-large_default/chirashi-saumon.jpg,true,,[]
2213,CHIRASHI THON - SAUMON,16.82,Chirashi,,https://www.sushi-aixsud.com/91-large_default/chirashi-thon-saumon.jpg,true,,[]
2214,CHIRASHI MIX,15.68,Chirashi,,https://www.sushi-aixsud.com/92-large_default/chirashi-mix.jpg,true,,[]
2215,CHIRASHI DELUXE,23.66,Chirashi,,https://www.sushi-aixsud.com/93-large_default/chirashi-deluxe.jpg,true,,[]
2216,Duo Sushi Sashimi,16.06,Plateaux combinés,,https://www.sushi-aixsud.com/73-large_default/duo-sushi-sashimi.jpg,true,,[]
2217,Duo Maki California,15.87,Plateaux combinés,,https://www.sushi-aixsud.com/74-large_default/duo-maki-california.jpg,true,,[]
2218,Duo Sushi Maki,13.59,Plateaux combinés,,https://www.sushi-aixsud.com/75-large_default/duo-sushi-maki.jpg,true,,[]
2219,Duo Sushi California,15.77,Plateaux combinés,,https://www.sushi-aixsud.com/76-large_default/duo-sushi-california.jpg,true,,[]
2220,"Trio Mix 6 Sushi, 6 Maki, 6 California",18.91,Plateaux combinés,,https://www.sushi-aixsud.com/77-large_default/trio-mix-6-sushi-6-maki-6-california.jpg,true,,[]
2221,"Trio Tout Saumon 6 Sushi, 6 Maki, 6 California",18.91,Plateaux combinés,,https://www.sushi-aixsud.com/78-large_default/trio-tout-saumon-6-sushi-6-maki-6-california.jpg,true,,[]
2224,Quatuor Decouverte,14.73,Plateaux combinés,,https://www.sushi-aixsud.com/81-large_default/quatuor-decouverte.jpg,true,,[]
